category,sample_idx,layer_idx,max_attn_idx
2,1,9,0-0-2-3-3-3-3-0-8-7
2,1,9,0-1-2-2-2-2-2-0-8-8
2,1,9,0-1-2-2-2-2-2-6-7-9
2,1,9,0-1-2-2-2-2-2-0-0-0
2,1,9,0-1-1-1-1-1-1-1-8-9
2,1,9,0-1-2-2-2-2-2-7-5-9
2,1,9,0-0-2-2-2-2-2-0-0-9
2,1,9,0-1-2-2-2-2-2-7-8-7
2,1,9,0-1-2-2-2-2-2-0-0-0
2,1,10,0-1-2-2-2-2-2-0-8-8
2,1,10,0-1-2-1-2-2-2-7-8-8
2,1,10,0-1-2-2-2-2-2-0-0-0
2,1,10,0-1-2-2-2-2-2-2-0-0
2,1,10,0-1-0-2-2-2-6-7-8-8
2,1,10,0-1-2-3-3-3-6-1-8-8
2,1,10,0-1-2-3-4-4-6-7-7-9
2,1,10,0-1-2-2-2-2-2-0-8-8
2,1,10,0-1-1-3-3-3-3-7-8-8
2,1,10,0-1-2-2-2-2-2-0-8-0
2,1,10,0-1-2-2-2-2-2-0-7-7
2,1,10,0-1-1-1-1-1-1-0-8-8
2,1,11,0-1-2-3-4-4-6-0-8-8
2,1,11,0-1-2-2-4-5-5-0-8-9
2,1,11,0-1-2-3-3-5-6-4-8-8
2,1,11,0-0-2-2-2-2-2-7-7-7
2,1,11,0-1-2-3-3-3-6-0-8-8
2,1,11,0-1-2-2-2-2-2-7-0-0
2,1,11,0-1-2-2-2-2-2-7-8-9
2,1,11,0-1-2-2-2-2-2-7-8-9
2,1,11,0-1-2-3-3-3-6-6-7-7
2,1,11,0-1-2-2-2-2-2-0-8-8
2,1,11,0-1-2-2-2-2-2-7-7-0
2,1,11,0-1-2-3-3-2-2-0-0-0
2,2,0,0-1-0-1-1-5-0-5-5-6
2,2,0,0-1-1-1-1-0-6-3-3-3
2,2,0,0-0-0-3-3-3-1-5-5-1
2,2,0,0-0-1-1-4-4-4-6-6-1
2,2,0,0-0-1-0-0-5-3-4-4-1
2,2,0,0-0-0-3-0-3-3-7-7-5
2,2,0,0-0-1-1-4-1-1-5-5-7
2,2,0,0-0-1-3-1-4-6-3-3-9
2,2,0,0-0-1-3-4-4-6-5-5-1
2,2,0,0-0-0-3-3-4-3-6-6-3
2,2,0,0-0-1-3-3-3-3-6-6-9
2,2,0,0-0-1-0-0-4-5-1-1-7
2,2,1,0-1-2-2-2-5-5-5-5-5
2,2,1,0-1-1-3-4-4-6-0-0-8
2,2,1,0-1-2-2-4-3-4-4-4-2
2,2,1,0-0-1-3-3-5-5-4-4-9
2,2,1,0-1-2-2-0-5-1-6-6-2
2,2,1,0-0-1-1-1-1-5-0-0-9
